2015-09-12 00:48:28 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (54e1f1c1-534c-48f9-9bf0-39592e1d7a26)] -> id: to_filter]
2015-09-12 00:48:29 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 00:48:29 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (54e1f1c1-534c-48f9-9bf0-39592e1d7a26)] -> id: search-form__submit-btn]
2015-09-12 00:49:24 INFO  SearchPage:67 - clicking on sort: Proxy element for: org.openqa.selenium.support.pagefactory.DefaultElementLocator@302c971f 
2015-09-12 00:49:24 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (54e1f1c1-534c-48f9-9bf0-39592e1d7a26)] -> id: sortby-price]
2015-09-12 01:00:13 INFO  SearchPage:36 - Opening login page
2015-09-12 01:00:17 INFO  sortTest:35 - Checking that all correct data added successfully
2015-09-12 01:00:17 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (ae842dfa-df2c-4fcf-92e3-879169a61112)] -> id: from_filter]
2015-09-12 01:00:18 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 01:00:18 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (ae842dfa-df2c-4fcf-92e3-879169a61112)] -> id: to_filter]
2015-09-12 01:00:19 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 01:00:19 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (ae842dfa-df2c-4fcf-92e3-879169a61112)] -> id: search-form__submit-btn]
2015-09-12 01:00:20 INFO  SearchPage:67 - clicking on sort: [[FirefoxDriver: firefox on WINDOWS (ae842dfa-df2c-4fcf-92e3-879169a61112)] -> id: search-form__submit-btn] 
2015-09-12 01:00:25 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (ae842dfa-df2c-4fcf-92e3-879169a61112)] -> id: sortby-price]
2015-09-12 01:08:18 INFO  SearchPage:36 - Opening login page
2015-09-12 01:08:21 INFO  sortTest:35 - Checking that all correct data added successfully
2015-09-12 01:08:22 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (1ae7d2a5-7919-41c0-aa4d-7d34b72bc14e)] -> id: from_filter]
2015-09-12 01:08:22 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 01:08:22 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (1ae7d2a5-7919-41c0-aa4d-7d34b72bc14e)] -> id: to_filter]
2015-09-12 01:08:23 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 01:08:23 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (1ae7d2a5-7919-41c0-aa4d-7d34b72bc14e)] -> id: search-form__submit-btn]
2015-09-12 01:09:18 INFO  SearchPage:67 - clicking on sort: Proxy element for: org.openqa.selenium.support.pagefactory.DefaultElementLocator@1040be71 
2015-09-12 01:09:18 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (1ae7d2a5-7919-41c0-aa4d-7d34b72bc14e)] -> id: sortby-price]
2015-09-12 01:10:41 INFO  SearchPage:36 - Opening login page
2015-09-12 01:10:45 INFO  sortTest:35 - Checking that all correct data added successfully
2015-09-12 01:10:45 INFO  Page:48 - entering text 'Madrid, Spain' into element [[FirefoxDriver: firefox on WINDOWS (40d1d0e6-c3df-4c8a-b775-a733ace99868)] -> id: from_filter]
2015-09-12 01:10:46 INFO  SearchPage:55 - entering from: Madrid, Spain 
2015-09-12 01:10:46 INFO  Page:48 - entering text 'Barcelona, Spain' into element [[FirefoxDriver: firefox on WINDOWS (40d1d0e6-c3df-4c8a-b775-a733ace99868)] -> id: to_filter]
2015-09-12 01:10:46 INFO  SearchPage:61 - entering to: Barcelona, Spain 
2015-09-12 01:10:47 INFO  Page:55 - clicking on element [[FirefoxDriver: firefox on WINDOWS (40d1d0e6-c3df-4c8a-b775-a733ace99868)] -> id: search-form__submit-btn]
